,CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb.,PutLTP
0,-,-,-,-,18700,-6.33,12.63,3.4,18.85
1,-,-,-,-,18750,-5.64,11.53,4.2,15
2,-,-,-,-,18800,-7.28,11.9,5.1,20.9
3,-,-,-,-,18850,-9.25,12.33,6.1,28.85
4,-,-,-,-,18900,-9.69,11.82,7.3,29.25
5,-,-,-,-,18950,-11.05,11.75,8.7,34.05
6,746.45,89.6,12.66,85.58,19000,-11.94,11.38,10.3,36.2
7,-,-,-,-,19050,-13.35,11.2,12.1,40.85
8,600,85.9,6.21,96.61,19100,-14.98,11.05,14,46.5
9,-,-,-,-,19150,-17.82,11.4,16.2,59.7
10,543.8,81.4,9.91,83.14,19200,-18.81,10.77,18.5,60.35
11,-,-,-,-,19250,-20.91,10.59,21,67.95
12,502.9,76.1,12.22,73.47,19300,-23.03,10.31,23.8,75
13,463.55,73.2,12.02,71.17,19350,-25.95,10.32,26.7,87.85
14,421.65,70.2,11.62,68.96,19400,-28.3,9.92,29.7,94.75
15,393.2,67,11.86,65.74,19450,-31.23,9.69,32.9,105.85
16,350.05,63.6,11.28,63.33,19500,-34.7,9.65,36.3,121.95
17,310.9,60.2,10.85,60.5,19550,-38.09,9.4,39.7,135.5
18,285,56.7,10.99,57.05,19600,-41.78,9.18,43.2,151.4
19,253.1,53.2,10.77,53.73,19650,-45.76,9.04,46.7,171
20,223,49.6,10.55,50.26,19700,-49.9,8.84,50.3,191
21,195,46.1,10.34,46.64,19750,-54.23,8.61,53.8,212.6
22,170.5,42.6,10.22,42.99,19800,-58.63,8.48,57.3,238.5
23,153.4,39.1,10.36,39.62,19850,-58.34,12.62,60.8,354.7
24,126.5,35.8,9.94,35.61,19900,-57.21,18.39,64.1,505.25
25,106.45,32.6,9.75,31.88,19950,-69.5,9.05,67.3,347.55
26,90,29.5,9.65,28.38,20000,-62.05,17.1,70.4,540
27,80.6,26.5,9.86,25.71,20050,-,-,-,-
28,63.05,23.7,9.49,21.92,20100,-,-,-,-
29,50.5,21.1,9.31,18.71,20150,-,-,-,-
30,41.7,18.7,9.28,16.11,20200,-,-,-,-
31,203.15,16.4,19.58,31.03,20250,-,-,-,-
32,30.5,14.4,9.48,12.29,20300,-,-,-,-
33,20.85,10.8,9.52,8.93,20400,-,-,-,-
34,26.45,9.3,10.64,9.94,20450,-82.46,14.52,90.6,826.6
35,15.45,7.9,9.78,6.78,20500,-,-,-,-
36,11.1,6.7,9.54,5.22,20550,-,-,-,-
37,14.1,5.7,10.48,5.91,20600,-,-,-,-
38,16.95,4.8,11.36,6.47,20650,-,-,-,-
39,11.35,4,10.87,4.76,20700,-,-,-,-
