,CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb.,PutLTP
0,982.9,98.3,0,0,18700,-4.68,13.25,1.6,11.95
1,931.15,97.7,0,0,18750,-5.11,12.89,2.2,12.85
2,891,97.1,9.6,98.06,18800,-5.77,12.65,2.8,14.55
3,840.2,96.3,8.74,98.38,18850,-6.45,12.37,3.6,16.2
4,800.15,95.3,11.08,94.39,18900,-7.37,12.17,4.6,18.65
5,739.25,94.2,7.27,98.8,18950,-8.47,12.01,5.7,21.7
6,707,92.8,11.03,91.8,19000,-9.77,11.87,7.1,25.45
7,557.25,91.2,0,0,19050,-10.86,11.54,8.7,28.1
8,616,89.4,10.88,88.58,19100,-12.41,11.36,10.5,32.55
9,569.6,87.3,10.58,87.11,19150,-13.85,11.03,12.6,36.15
10,525,84.9,10.41,85.16,19200,-15.93,10.9,15,42.5
11,482.3,82.2,10.32,82.75,19250,-17.36,10.36,17.7,45
12,440,79.3,10.16,80.2,19300,-20.48,10.47,20.6,56.15
13,401.3,76.2,10.18,77,19350,-23.39,10.37,23.7,66
14,364.25,72.8,10.2,73.55,19400,-26.46,10.2,27.2,76.45
15,327.4,69.1,10.11,70.05,19450,-29.91,10.09,30.8,89.2
16,289,65.3,9.83,66.59,19500,-33.62,9.97,34.6,103.5
17,250.25,61.3,9.43,62.91,19550,-37.52,9.8,38.6,118.75
18,225,57.3,9.69,58.26,19600,-41.76,9.72,42.6,137.7
19,194.55,53.1,9.54,53.88,19650,-46.14,9.61,46.8,158
20,169,48.9,9.53,49.34,19700,-50.67,9.48,51,180.25
21,142,44.8,9.31,44.68,19750,-55.37,9.24,55.1,202.8
22,120,40.7,9.24,40.05,19800,-60.02,9.18,59.2,231
23,96.05,36.7,8.92,35.1,19850,-64.69,9.05,63.2,260.4
24,78.8,32.9,8.85,30.59,19900,-69,9.05,67,294.15
25,65,29.2,8.86,26.49,19950,-74.11,8.61,70.7,323.45
26,50.1,25.8,8.64,22.12,20000,-77.73,8.7,74.1,363
27,39.3,22.6,8.57,18.42,20050,-81.45,8.62,77.3,402
28,30.55,19.6,8.52,15.14,20100,-85.6,8.26,80.3,440
29,23.25,16.9,8.45,12.21,20150,-87.55,8.53,83,486.2
30,18.05,14.5,8.46,9.89,20200,-89.55,8.67,85.4,531.9
31,13.4,12.3,8.41,7.75,20250,-90.08,9.28,87.6,582
32,11.2,10.3,8.6,6.52,20300,-92.71,8.94,89.6,625.4
33,9.4,8.6,8.8,5.51,20350,-91.61,10.17,91.3,679.95
34,7.6,7.1,8.92,4.53,20400,-95.37,8.98,92.8,720
35,7.1,5.8,9.3,4.12,20450,-91.1,11.93,94.1,784.5
36,6.5,4.7,9.62,3.71,20500,-97.82,8.52,95.2,815.3
37,5.8,3.8,9.89,3.28,20550,-90.89,13.57,96.1,888.25
38,5.1,3.1,10.13,2.87,20600,0,0,96.8,912.15
39,4.7,2.4,10.43,2.6,20650,-94.58,12.59,97.5,975.3
