,CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb.,PutLTP
0,-,-,-,-,14000,-2.55,22.9,0,40.6
1,4599.25,99.3,0,0,15000,-3.72,20.24,0.6,54.85
2,-,-,-,-,16000,-5.8,17.92,2.5,81
3,-,-,-,-,17000,-9.38,15.73,7.5,125
4,2550,82.7,18.9,77.84,18000,-16.41,14.13,17.2,222.5
5,1999,76.1,15.26,75.94,18500,-,-,-,-
6,1711.55,68.5,16.13,68.41,19000,-28.37,12.8,31.4,410
7,1074.6,51.7,15.01,54.15,20000,-45.94,10.73,48.2,681
8,579,35.4,13.78,37.71,21000,-73.14,7.88,64.5,1111
9,274.7,22,13.04,22.47,22000,0,0,77.9,1800
