,CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb.,PutLTP
0,1111.85,82.4,11.72,83.11,18900,-17.83,12.22,17.5,115
1,-,-,-,-,18950,-19,12.2,18.8,124.5
2,1020.35,79.8,11.29,81.47,19000,-20.18,12.16,20.1,134
3,-,-,-,-,19050,-21.46,12.15,21.4,145
4,768.55,77.1,0,0,19100,-22.09,11.74,22.8,145.3
5,829.9,75.6,8.49,83.67,19150,-23.42,11.7,24.3,156.3
6,851,74.2,10.77,76.78,19200,-24.61,11.53,25.7,164.4
7,-,-,-,-,19250,-26.02,11.48,27.3,176.2
8,773.05,71.1,10.63,73.84,19300,-27.25,11.27,28.8,183.9
9,629.1,69.5,6.94,80.98,19350,-29.23,11.5,30.4,206.5
10,704.85,67.8,10.7,70.31,19400,-30.47,11.22,32.1,213.1
11,640.3,66.1,9.78,69.98,19450,-32.27,11.29,33.8,232.05
12,641.05,64.4,10.78,66.62,19500,-33.67,11.01,35.5,240.05
13,618.85,62.7,11.06,64.49,19550,-35.53,11.08,37.2,260.55
14,568.6,61,10.52,63.2,19600,-37.14,10.85,38.9,271.75
15,542,59.2,10.61,61.18,19650,-39.02,10.86,40.7,291.95
16,507,57.4,10.45,59.35,19700,-40.71,10.54,42.5,301.2
17,395,55.7,8.19,58.89,19750,-42.73,10.66,44.2,327.5
18,448.7,53.9,10.38,55.4,19800,-44.63,10.47,46,343.4
19,410,52.1,10.05,53.42,19850,-46.66,10.68,47.8,375
20,393.1,50.3,10.27,51.34,19900,-48.65,10.37,49.6,388
21,341.8,48.5,9.55,49.11,19950,-50.24,12.26,51.4,485.55
22,345,46.7,10.25,47.25,20000,-52.81,10.11,53.2,431
23,288.9,44.9,9.34,44.58,20050,-54.87,10.11,55,458.65
24,300.5,43.2,10.21,43.18,20100,-57.2,9.78,56.7,475.35
25,246.3,41.4,9.29,40.15,20150,-59.15,9.9,58.5,509.8
26,250,39.7,9.91,38.83,20200,-61.25,9.84,60.2,538.7
27,225.5,38,9.73,36.58,20250,-63.1,9.94,61.9,574.25
28,208.35,36.3,9.72,34.58,20300,-64.59,10.23,63.6,617.4
29,188.9,34.7,9.62,32.46,20350,-,-,-,-
30,174.9,33.1,9.65,30.61,20400,-64.71,12.55,66.8,765.7
31,159.3,31.5,9.6,28.67,20450,-66.9,12.07,68.4,783.15
32,147,30,9.62,26.94,20500,-74.12,9.17,69.9,723.95
33,128.3,28.5,9.41,24.71,20550,-,-,-,-
34,118,27,9.44,23.11,20600,-78.49,8.84,72.9,791.75
35,94.85,25.6,8.98,20.27,20650,-,-,-,-
36,97.9,24.2,9.45,19.98,20700,-77.65,10.41,75.7,915.2
37,78.1,22.9,9.02,17.33,20750,-73.96,12.9,77,1027.95
38,81.65,21.6,9.49,17.24,20800,-84.08,9.01,78.3,961.2
39,67.45,20.4,9.21,15.15,20850,-,-,-,-
