,CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb.,PutLTP
0,5000,99.9,24.36,96.23,15000,-1.95,20.72,0,21.4
1,-,-,-,-,16000,-3.4,18.11,0.4,34.95
2,3380,97,28.74,81.72,17000,-5.99,15.41,2.9,57.1
3,2218.95,88.7,18.08,81.19,18000,-12.48,13.46,11.2,119.5
4,1408.5,71.7,15.92,69.05,19000,-25.82,11.56,28.2,258
5,739.1,48.7,13.92,50.8,20000,-50.37,9.38,51.2,543
6,301.6,27.1,12.55,29.08,21000,0,0,72.8,1045.15
7,95.3,12.3,11.81,12.27,22000,0,0,87.6,1807.7
8,40.05,4.5,12.63,5.59,23000,-,-,-,-
9,24.85,1.4,14.24,3.34,24000,0,0,98.5,3900
